League,Division,Team.Abr,Team,City,Stadium,Capacity
AL,East,BAL,Baltimore Orioles,"Baltimore, MD",Oriole Park at Camden Yards,"45,971"
AL,East,BOS,Boston Red Sox,"Boston, MA",Fenway Park,"37,949"
AL,East,NYY,New York Yankees,"New York City, NY",Yankee Stadium,"49,638"
AL,East,TBR,Tampa Bay Rays,"St. Petersburg, FL",Tropicana Field,"31,042"
AL,East,TOR,Toronto Blue Jays,"Toronto, ON",Rogers Centre,"49,282"
AL,Central,CHW,Chicago White Sox,"Chicago, IL",Guaranteed Rate Field,"40,615"
AL,Central,CLE,Cleveland Indians,"Cleveland, OH",Progressive Field,"35,225"
AL,Central,DET,Detroit Tigers,"Detroit, MI",Comerica Park,"41,297"
AL,Central,KCR,Kansas City Royals,"Kansas City, MO",Kauffman Stadium,"37,903"
AL,Central,MIN,Minnesota Twins,"Minneapolis, MN",Target Field,"38,871"
AL,West,HOU,Houston Astros,"Houston, TX",Minute Maid Park,"41,676"
AL,West,LAA,Los Angeles Angels of Anaheim,"Anaheim, CA",Angel Stadium,"45,957"
AL,West,OAK,Oakland Athletics,"Oakland, CA",Oakland?Alameda County Coliseum,"35,067"
AL,West,SEA,Seattle Mariners,"Seattle, WA",Safeco Field,"47,943"
AL,West,TEX,Texas Rangers,"Arlington, TX",Globe Life Park in Arlington,"48,114"
NL,East,ATL,Atlanta Braves,"Cumberland, GA",SunTrust Park,"41,500"
NL,East,MIA,Miami Marlins,"Miami, FL",Marlins Park,"36,742"
NL,East,MIA,Florida Marlins,"Miami, FL",Marlins Park,"36,742"
NL,East,NYM,New York Mets,"New York City, NY",Citi Field,"41,922"
NL,East,PHI,Philadelphia Phillies,"Philadelphia, PA",Citizens Bank Park,"43,651"
NL,East,WSN,Washington Nationals,"Washington, D.C.",Nationals Park,"41,313"
NL,Central,CHC,Chicago Cubs,"Chicago, IL",Wrigley Field,"41,268"
NL,Central,CIN,Cincinnati Reds,"Cincinnati, OH",Great American Ball Park,"42,319"
NL,Central,MIL,Milwaukee Brewers,"Milwaukee, WI",Miller Park,"41,900"
NL,Central,PIT,Pittsburgh Pirates,"Pittsburgh, PA",PNC Park,"38,362"
NL,Central,STL,St. Louis Cardinals,"St. Louis, MO",Busch Stadium,"43,975"
NL,West,ARI,Arizona Diamondbacks,"Phoenix, AZ",Chase Field,"48,519"
NL,West,COL,Colorado Rockies,"Denver, CO",Coors Field,"50,398"
NL,West,LAD,Los Angeles Dodgers,"Los Angeles, CA",Dodger Stadium,"56,000"
NL,West,SDP,San Diego Padres,"San Diego, CA",Petco Park,"40,162"
NL,West,SFG,San Francisco Giants,"San Francisco, CA",AT&T Park,"41,915"
